country,bank_account,location_type,cellphone_access,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,household_size_binned
Kenya,No,Urban,Yes,50,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing,size btw 7 and 10
Kenya,No,Rural,Yes,30,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,size 3 or below
Kenya,No,Urban,Yes,49,Female,Spouse,Married/Living together,Primary education,Self employed,size btw 4 and 6
Kenya,No,Rural,No,72,Female,Parent,Widowed,No formal education,Remittance Dependent,size btw 7 and 10
Kenya,No,Rural,Yes,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,Yes,21,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,52,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 7 and 10
Kenya,Yes,Rural,Yes,55,Male,Child,Married/Living together,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,35,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,Yes,38,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,19,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Urban,Yes,53,Female,Head of Household,Married/Living together,Tertiary education,Self employed,size btw 7 and 10
Kenya,No,Urban,No,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size 3 or below
Kenya,No,Urban,Yes,29,Female,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,Yes,Rural,Yes,24,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private,size 3 or below
Kenya,No,Urban,Yes,63,Male,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing,size btw 7 and 10
Kenya,No,Urban,Yes,47,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent,size 3 or below
Kenya,Yes,Urban,Yes,42,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government,size btw 4 and 6
Kenya,No,Rural,No,17,Male,Child,Single/Never Married,Secondary education,Informally employed,size 3 or below
Kenya,Yes,Rural,Yes,28,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Urban,Yes,62,Male,Head of Household,Widowed,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Rural,Yes,52,Female,Head of Household,Widowed,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,44,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,size 3 or below
Kenya,No,Urban,Yes,28,Female,Head of Household,Married/Living together,No formal education,Self employed,size btw 4 and 6
Kenya,Yes,Urban,Yes,30,Female,Spouse,Married/Living together,Secondary education,Self employed,size btw 4 and 6
Kenya,Yes,Urban,Yes,39,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Urban,Yes,81,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Rural,Yes,62,Female,Head of Household,Widowed,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,78,Male,Head of Household,Married/Living together,Primary education,Self employed,size 3 or below
Kenya,No,Urban,Yes,28,Female,Head of Household,Single/Never Married,Primary education,Self employed,size 3 or below
Kenya,No,Urban,Yes,28,Male,Head of Household,Married/Living together,Primary education,Formally employed Government,size btw 4 and 6
Kenya,No,Rural,Yes,39,Female,Head of Household,Widowed,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,42,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,size btw 7 and 10
Kenya,No,Rural,No,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,Yes,50,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,25,Female,Spouse,Married/Living together,Primary education,Self employed,size btw 4 and 6
Kenya,Yes,Urban,Yes,34,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Urban,Yes,26,Female,Spouse,Married/Living together,Secondary education,Self employed,size 3 or below
Kenya,No,Rural,No,36,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,size btw 7 and 10
Kenya,No,Rural,Yes,78,Female,Head of Household,Widowed,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Rural,Yes,36,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government,size btw 4 and 6
Kenya,No,Urban,No,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 7 and 10
Kenya,No,Urban,Yes,20,Male,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,30,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,38,Male,Head of Household,Married/Living together,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,No,Rural,No,50,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,Yes,Urban,Yes,40,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,size btw 7 and 10
Kenya,No,Urban,Yes,62,Male,Head of Household,Married/Living together,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,40,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,44,Male,Head of Household,Married/Living together,Primary education,Self employed,size btw 7 and 10
Kenya,No,Rural,Yes,25,Female,Spouse,Married/Living together,Primary education,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,59,Female,Head of Household,Widowed,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Urban,Yes,36,Female,Spouse,Married/Living together,Secondary education,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,60,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 7 and 10
Kenya,Yes,Rural,Yes,42,Male,Head of Household,Married/Living together,No formal education,Formally employed Private,size 3 or below
Kenya,No,Rural,Yes,56,Female,Head of Household,Married/Living together,No formal education,Self employed,size 3 or below
Kenya,No,Urban,No,37,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,Yes,28,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,No,50,Female,Child,Single/Never Married,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,No,Urban,Yes,55,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,size 3 or below
Kenya,No,Rural,Yes,65,Female,Head of Household,Widowed,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,No,Rural,Yes,48,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,65,Female,Head of Household,Widowed,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,55,Female,Head of Household,Widowed,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Rural,Yes,31,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,No,55,Female,Head of Household,Widowed,No formal education,Remittance Dependent,size 3 or below
Kenya,No,Urban,Yes,44,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,72,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,No,18,Female,Child,Single/Never Married,Secondary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,26,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,Yes,53,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,28,Male,Head of Household,Married/Living together,Primary education,Informally employed,size 3 or below
Kenya,No,Urban,Yes,34,Female,Head of Household,Married/Living together,Tertiary education,Informally employed,size btw 7 and 10
Kenya,No,Rural,Yes,55,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,48,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed,size 3 or below
Kenya,No,Rural,Yes,50,Female,Spouse,Married/Living together,Primary education,Informally employed,size 3 or below
Kenya,Yes,Rural,Yes,65,Female,Head of Household,Widowed,Secondary education,Farming and Fishing,size btw 7 and 10
Kenya,Yes,Urban,Yes,53,Female,Head of Household,Widowed,Secondary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,45,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,29,Female,Head of Household,Single/Never Married,Primary education,Informally employed,size 3 or below
Kenya,Yes,Urban,Yes,36,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private,size 3 or below
Kenya,No,Rural,No,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 7 and 10
Kenya,No,Rural,No,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Urban,Yes,33,Female,Head of Household,Married/Living together,Primary education,Self employed,size btw 7 and 10
Kenya,No,Urban,Yes,25,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Urban,Yes,30,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Government,size 3 or below
Kenya,Yes,Urban,Yes,48,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Rural,Yes,80,Female,Head of Household,Widowed,No formal education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,42,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,69,Female,Head of Household,Married/Living together,No formal education,Self employed,size btw 4 and 6
Kenya,No,Urban,Yes,23,Female,Spouse,Married/Living together,Secondary education,Self employed,size 3 or below
Kenya,No,Rural,Yes,67,Female,Head of Household,Widowed,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,58,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,27,Male,Child,Single/Never Married,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Rural,Yes,42,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,No,80,Female,Head of Household,Widowed,No formal education,Government Dependent,size btw 4 and 6
Kenya,No,Rural,No,95,Female,Parent,Widowed,No formal education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,26,Female,Other relative,Single/Never Married,Secondary education,Informally employed,size btw 4 and 6
Kenya,No,Urban,Yes,38,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent,size 3 or below
Kenya,No,Urban,Yes,64,Male,Head of Household,Married/Living together,Secondary education,Informally employed,size 3 or below
Kenya,No,Urban,Yes,16,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Urban,No,49,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,No,33,Female,Head of Household,Widowed,No formal education,Self employed,size btw 4 and 6
Kenya,No,Urban,Yes,35,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed,size btw 4 and 6
Kenya,Yes,Urban,Yes,28,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private,size 3 or below
Kenya,No,Urban,Yes,38,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,size btw 4 and 6
Kenya,No,Rural,Yes,29,Male,Head of Household,Married/Living together,No formal education,Self employed,size 3 or below
Kenya,No,Rural,Yes,26,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,No,17,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,36,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,Yes,Urban,Yes,28,Female,Spouse,Married/Living together,Secondary education,Self employed,size 3 or below
Kenya,No,Urban,No,22,Female,Parent,Single/Never Married,Secondary education,Dont Know/Refuse to answer,size btw 4 and 6
Kenya,No,Urban,Yes,65,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Urban,No,54,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing,size 3 or below
Kenya,Yes,Rural,Yes,66,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,54,Female,Spouse,Married/Living together,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,No,70,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,44,Male,Head of Household,Married/Living together,Secondary education,Informally employed,size btw 4 and 6
Kenya,No,Urban,Yes,22,Male,Child,Single/Never Married,Secondary education,Informally employed,size btw 7 and 10
Kenya,Yes,Rural,Yes,53,Male,Head of Household,Married/Living together,Tertiary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,28,Male,Child,Married/Living together,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Rural,Yes,42,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,No,Rural,Yes,24,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Urban,Yes,40,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private,size 3 or below
Kenya,No,Rural,Yes,33,Male,Head of Household,Married/Living together,Secondary education,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,60,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,40,Female,Other relative,Divorced/Seperated,Primary education,Formally employed Private,size 3 or below
Kenya,No,Rural,No,17,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,30,Female,Head of Household,Divorced/Seperated,Primary education,Self employed,size btw 7 and 10
Kenya,No,Urban,No,16,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,No,19,Male,Child,Single/Never Married,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Rural,Yes,54,Female,Head of Household,Widowed,Secondary education,Self employed,size 3 or below
Kenya,Yes,Rural,Yes,33,Male,Head of Household,Single/Never Married,Tertiary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,29,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,No,71,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,26,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Rural,No,23,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Urban,Yes,27,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,23,Male,Other relative,Single/Never Married,Primary education,Informally employed,size btw 7 and 10
Kenya,Yes,Urban,Yes,47,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size btw 4 and 6
